batch_size,run_id,l_sub_s,t_ver_us,s_pi_bytes,c_1k_usd,tef_s,fee_ada,tx_size_bytes
100,0,49.989,3.0683,862,0.75918,1777.99,0.172541,393
100,1,51.525,2.9162,861,0.75918,1779.53,0.172541,378
100,2,88.532,3.0483,862,0.75918,1816.53,0.172541,391
100,3,75.44,3.0462,862,0.75918,1803.44,0.172541,360
100,4,36.666,2.9863,860,0.75918,1764.67,0.172541,357
100,5,63.51,2.9142,860,0.75918,1791.51,0.172541,365
100,6,110.414,3.2058,861,0.75918,1838.41,0.172541,379
100,7,92.97,2.9113,861,0.75918,1820.97,0.172541,393
100,8,77.661,2.9392,863,0.75918,1805.66,0.172541,401
100,9,73.812,3.0458,862,0.75918,1801.81,0.172541,411
100,10,170.419,2.9375,862,0.75918,1898.42,0.172541,384
100,11,63.834,3.0433,861,0.75918,1791.83,0.172541,427
100,12,87.681,2.94,860,0.75918,1815.68,0.172541,385
100,13,45.479,2.955,860,0.75918,1773.48,0.172541,379
100,14,121.774,2.9046,861,0.75918,1849.77,0.172541,387
100,15,154.756,2.9708,863,0.75918,1882.76,0.172541,359
100,16,216.599,3.1092,863,0.75918,1944.6,0.172541,402
100,17,56.965,3.1467,861,0.75918,1784.97,0.172541,406
100,18,135.348,3.0971,862,0.75918,1863.35,0.172541,402
100,19,82.502,2.9433,864,0.75918,1810.5,0.172541,362
100,20,74.271,3.0413,862,0.75918,1802.27,0.172541,404
100,21,82.516,2.9125,862,0.75918,1810.52,0.172541,403
100,22,76.982,3.0679,861,0.75918,1804.98,0.172541,404
100,23,47.588,2.8617,860,0.75918,1775.59,0.172541,386
100,24,90.898,3.0037,862,0.75918,1818.9,0.172541,409
100,25,152.437,2.94,862,0.75918,1880.44,0.172541,400
100,26,67.21,2.9233,862,0.75918,1795.21,0.172541,401
100,27,117.996,3.2212,861,0.75918,1846.0,0.172541,370
100,28,63.732,2.9212,861,0.75918,1791.73,0.172541,400
100,29,81.462,3.1533,862,0.75918,1809.46,0.172541,387
500,0,104.951,3.6296,1059,0.151836,8744.95,0.172541,390
500,1,97.706,4.0396,1059,0.151836,8737.71,0.172541,408
500,2,101.34,3.7129,1057,0.151836,8741.34,0.172541,398
500,3,100.107,3.5354,1059,0.151836,8740.11,0.172541,378
500,4,66.088,3.9867,1057,0.151836,8706.09,0.172541,375
500,5,77.452,3.7267,1056,0.151836,8717.45,0.172541,391
500,6,185.613,3.5958,1058,0.151836,8825.61,0.172541,420
500,7,90.006,3.6046,1058,0.151836,8730.01,0.172541,419
500,8,103.854,3.7912,1056,0.151836,8743.85,0.172541,401
500,9,46.431,3.6338,1056,0.151836,8686.43,0.172541,397
500,10,61.963,3.6,1059,0.151836,8701.96,0.172541,395
