sla_window_s,run_id,odr,fpr,precision,mttd_s
60.0,0,1.0,0.0,1.0,119.3596153846154
60.0,1,1.0,0.0,1.0,121.18636363636364
60.0,2,1.0,0.0,1.0,119.79574468085106
60.0,3,1.0,0.0,1.0,122.53387096774195
60.0,4,1.0,0.0,1.0,115.9795918367347
60.0,5,1.0,0.0,1.0,117.55490196078432
60.0,6,1.0,0.0,1.0,114.39999999999996
60.0,7,1.0,0.0,1.0,127.68604651162791
60.0,8,1.0,0.0,1.0,118.1204081632653
60.0,9,1.0,0.0,1.0,121.58936170212766
60.0,10,1.0,0.0,1.0,124.36603773584905
60.0,11,1.0,0.0,1.0,117.8291666666667
60.0,12,1.0,0.0,1.0,122.19038461538463
60.0,13,1.0,0.0,1.0,116.47254901960787
60.0,14,1.0,0.0,1.0,117.19814814814815
60.0,15,1.0,0.0,1.0,118.53269230769232
60.0,16,1.0,0.0,1.0,124.20204081632653
60.0,17,1.0,0.0,1.0,123.32280701754388
60.0,18,1.0,0.0,1.0,119.4125
60.0,19,1.0,0.0,1.0,121.5271186440678
60.0,20,1.0,0.0,1.0,116.89038461538465
60.0,21,1.0,0.0,1.0,123.97058823529416
60.0,22,1.0,0.0,1.0,118.82307692307687
60.0,23,1.0,0.0,1.0,127.56153846153845
60.0,24,1.0,0.0,1.0,125.80909090909094
60.0,25,1.0,0.0,1.0,126.0
60.0,26,1.0,0.0,1.0,117.80232558139528
60.0,27,1.0,0.0,1.0,114.84727272727275
60.0,28,1.0,0.0,1.0,125.95192307692311
60.0,29,1.0,0.0,1.0,121.59516129032258
300.0,0,1.0,0.0,1.0,356.275925925926
300.0,1,1.0,0.0,1.0,362.4452830188679
300.0,2,1.0,0.0,1.0,359.64920634920645
300.0,3,1.0,0.0,1.0,355.6608695652174
300.0,4,1.0,0.0,1.0,355.2767857142857
300.0,5,1.0,0.0,1.0,355.0964285714286
300.0,6,1.0,0.0,1.0,362.9472727272727
300.0,7,1.0,0.0,1.0,365.01800000000003
300.0,8,1.0,0.0,1.0,355.21590909090907
300.0,9,1.0,0.0,1.0,355.51627906976745
300.0,10,1.0,0.0,1.0,356.505
300.0,11,1.0,0.0,1.0,362.55800000000005
300.0,12,1.0,0.0,1.0,363.93278688524595
300.0,13,1.0,0.0,1.0,354.9088235294118
300.0,14,1.0,0.0,1.0,363.91600000000005
300.0,15,1.0,0.0,1.0,364.09230769230766
300.0,16,1.0,0.0,1.0,356.9569230769231
300.0,17,1.0,0.0,1.0,363.7214285714286
300.0,18,1.0,0.0,1.0,362.12264150943395
300.0,19,1.0,0.0,1.0,358.8867924528302
300.0,20,1.0,0.0,1.0,354.95000000000005
300.0,21,1.0,0.0,1.0,368.4
300.0,22,1.0,0.0,1.0,351.2857142857143
300.0,23,1.0,0.0,1.0,358.0682926829268
300.0,24,1.0,0.0,1.0,356.6581818181819
300.0,25,1.0,0.0,1.0,359.95399999999995
300.0,26,1.0,0.0,1.0,351.49629629629624
300.0,27,1.0,0.0,1.0,362.7730769230769
300.0,28,1.0,0.0,1.0,366.83181818181816
300.0,29,1.0,0.0,1.0,356.35510204081623
600.0,0,1.0,0.0,1.0,655.0079365079363
600.0,1,1.0,0.0,1.0,652.3020833333334
600.0,2,1.0,0.0,1.0,652.0406779661017
600.0,3,1.0,0.0,1.0,657.6166666666667
600.0,4,1.0,0.0,1.0,670.0023809523809
600.0,5,1.0,0.0,1.0,659.7936170212765
600.0,6,1.0,0.0,1.0,664.3553571428571
600.0,7,1.0,0.0,1.0,655.5977777777778
600.0,8,1.0,0.0,1.0,661.7571428571429
600.0,9,1.0,0.0,1.0,662.8293103448275
600.0,10,1.0,0.0,1.0,655.2849056603774
600.0,11,1.0,0.0,1.0,659.4629629629629
600.0,12,1.0,0.0,1.0,656.1765957446809
600.0,13,1.0,0.0,1.0,664.2418604651164
600.0,14,1.0,0.0,1.0,662.0851851851852
600.0,15,1.0,0.0,1.0,666.3
600.0,16,1.0,0.0,1.0,660.552
600.0,17,1.0,0.0,1.0,664.5034482758621
600.0,18,1.0,0.0,1.0,655.7133333333333
600.0,19,1.0,0.0,1.0,655.0170212765959
600.0,20,1.0,0.0,1.0,663.4979591836735
600.0,21,1.0,0.0,1.0,656.9142857142857
600.0,22,1.0,0.0,1.0,665.7594594594594
600.0,23,1.0,0.0,1.0,661.2159999999999
600.0,24,1.0,0.0,1.0,664.351923076923
600.0,25,1.0,0.0,1.0,661.8521739130432
600.0,26,1.0,0.0,1.0,662.8638297872342
600.0,27,1.0,0.0,1.0,661.3711538461539
600.0,28,1.0,0.0,1.0,661.128
600.0,29,1.0,0.0,1.0,663.4977777777779
1800.0,0,1.0,0.0,1.0,1859.158
1800.0,1,1.0,0.0,1.0,1859.656097560976
1800.0,2,1.0,0.0,1.0,1863.2421875
1800.0,3,1.0,0.0,1.0,1866.8613636363634
1800.0,4,1.0,0.0,1.0,1862.8446808510635
1800.0,5,1.0,0.0,1.0,1869.6728813559323
1800.0,6,1.0,0.0,1.0,1860.2903846153845
1800.0,7,1.0,0.0,1.0,1859.089655172414
1800.0,8,1.0,0.0,1.0,1859.4625000000003
1800.0,9,1.0,0.0,1.0,1860.6898305084744
1800.0,10,1.0,0.0,1.0,1857.0979591836735
1800.0,11,1.0,0.0,1.0,1861.3529411764705
1800.0,12,1.0,0.0,1.0,1849.5851063829787
1800.0,13,1.0,0.0,1.0,1856.7368421052631
1800.0,14,1.0,0.0,1.0,1862.0941176470585
1800.0,15,1.0,0.0,1.0,1863.8666666666666
1800.0,16,1.0,0.0,1.0,1854.2315789473685
1800.0,17,1.0,0.0,1.0,1858.5425531914896
1800.0,18,1.0,0.0,1.0,1870.798076923077
1800.0,19,1.0,0.0,1.0,1859.7048780487808
1800.0,20,1.0,0.0,1.0,1857.179487179487
1800.0,21,1.0,0.0,1.0,1858.6708333333333
1800.0,22,1.0,0.0,1.0,1856.7295454545456
1800.0,23,1.0,0.0,1.0,1855.9261904761906
1800.0,24,1.0,0.0,1.0,1857.4102040816324
1800.0,25,1.0,0.0,1.0,1862.0625
1800.0,26,1.0,0.0,1.0,1861.5244444444438
1800.0,27,1.0,0.0,1.0,1859.7875
1800.0,28,1.0,0.0,1.0,1858.3745098039217
1800.0,29,1.0,0.0,1.0,1862.9339622641508
3600.0,0,1.0,0.0,1.0,3659.497777777778
3600.0,1,1.0,0.0,1.0,3668.3200000000006
3600.0,2,1.0,0.0,1.0,3661.913043478261
3600.0,3,1.0,0.0,1.0,3662.891489361702
3600.0,4,1.0,0.0,1.0,3662.8250000000003
3600.0,5,1.0,0.0,1.0,3657.1666666666665
3600.0,6,1.0,0.0,1.0,3659.6545454545453
3600.0,7,1.0,0.0,1.0,3663.5204081632655
3600.0,8,1.0,0.0,1.0,3662.2519230769226
3600.0,9,1.0,0.0,1.0,3656.8581395348842
3600.0,10,1.0,0.0,1.0,3659.5530612244897
3600.0,11,1.0,0.0,1.0,3658.038297872341
3600.0,12,1.0,0.0,1.0,3659.3059999999996
3600.0,13,1.0,0.0,1.0,3668.9796296296304
3600.0,14,1.0,0.0,1.0,3662.0867924528293
3600.0,15,1.0,0.0,1.0,3657.655319148935
3600.0,16,1.0,0.0,1.0,3663.8520000000008
3600.0,17,1.0,0.0,1.0,3664.013559322034
3600.0,18,1.0,0.0,1.0,3657.682692307692
3600.0,19,1.0,0.0,1.0,3658.3833333333328
3600.0,20,1.0,0.0,1.0,3659.4265306122447
3600.0,21,1.0,0.0,1.0,3663.5363636363636
3600.0,22,1.0,0.0,1.0,3665.1184210526317
3600.0,23,1.0,0.0,1.0,3661.614634146342
3600.0,24,1.0,0.0,1.0,3663.0279999999993
3600.0,25,1.0,0.0,1.0,3658.69375
3600.0,26,1.0,0.0,1.0,3656.6269841269846
3600.0,27,1.0,0.0,1.0,3652.164285714286
3600.0,28,1.0,0.0,1.0,3655.1960000000004
3600.0,29,1.0,0.0,1.0,3659.721621621622
