batch_id,tx_id,root_hex,fee_ada,fee_usd,tx_size_bytes,confirmation_delay_s,is_reorg,mode
0,579dde7b68f97150...,6860e20e18c2ca15...,0.172013,0.075686,378,69.16,False,dry-run
1,e1f493f42cf85397...,55d269845af290d0...,0.172013,0.075686,378,171.35,False,dry-run
2,0f1b5b549f5e50ac...,48bbecdf2f8b30d1...,0.171397,0.075415,364,103.07,False,dry-run
3,d52fb97004af0454...,4e968b1d7e4d98e4...,0.172497,0.075899,389,63.31,False,dry-run
4,8ff266d3a7dca88e...,625d23c840db6c96...,0.170517,0.075027,344,165.15,False,dry-run
5,f93da8ce0e410483...,40f3c15e5504bb73...,0.170957,0.075221,354,118.71,False,dry-run
6,a7f29189d297ff65...,45e8c83f99c82802...,0.171177,0.075318,359,81.64,False,dry-run
7,e09a24d7581f05de...,f02a03e9bd1aff81...,0.173817,0.076479,419,69.08,False,dry-run
8,8aeaa8396557c4ca...,254439b21fbc64b7...,0.171705,0.07555,371,196.31,False,dry-run
9,336eb61c236bd45e...,583c0d7d4b18b7c9...,0.173201,0.076208,405,58.31,False,dry-run
10,f7f4637d8a8cf3bd...,d92a62a3fbe1deb9...,0.172629,0.075957,392,105.52,False,dry-run
11,567960152fc51aa5...,dac850421bbc40e1...,0.173421,0.076305,410,75.54,False,dry-run
12,ab77b3e974fc3295...,27ea2c3adf39ba24...,0.171661,0.075531,370,68.34,False,dry-run
13,790b03c4c8013864...,e3e94fbfa97fc00b...,0.174301,0.076692,430,58.85,False,dry-run
14,45c052891d5398c4...,0bae8899453fcf49...,0.172717,0.075995,394,157.22,False,dry-run
15,2b0649456b6b6526...,219bcab3f2f9548d...,0.172189,0.075763,382,166.35,False,dry-run
16,0061c4a08cfc8f62...,0d6a16aad2ac17b6...,0.171925,0.075647,376,93.86,False,dry-run
17,9008d4fbe6596a1a...,406a4c449b1e14d7...,0.171309,0.075376,362,65.64,False,dry-run
18,321761501b3c4dd9...,489a4970f8c02e45...,0.173553,0.076363,413,76.78,False,dry-run
19,c89d7947e0cc6eaa...,79028f689da62d19...,0.171529,0.075473,367,124.78,False,dry-run
20,d332556e11a966b8...,d2d1d739c8709f3c...,0.173333,0.076267,408,93.34,False,dry-run
21,54952cfc5485fe9c...,2b1b8a740a55538f...,0.171661,0.075531,370,140.05,False,dry-run
22,65eaf12565c0a431...,e2582807123b8f11...,0.173509,0.076344,412,112.62,False,dry-run
23,93bc1ef7338b01b2...,8132c4be28a38204...,0.173377,0.076286,409,65.73,False,dry-run
24,776360eb9f2cc6a0...,eb9ab816b400a476...,0.172893,0.076073,398,139.63,False,dry-run
25,5b69770056d9443d...,5ff16f93675b2b15...,0.172541,0.075918,390,131.4,False,dry-run
26,cee4469dc01e4658...,32d32787f129cfd0...,0.171793,0.075589,373,80.64,False,dry-run
27,a374b665b9a061a7...,f98268a32c19577d...,0.171793,0.075589,373,74.07,False,dry-run
28,5e6343b6247bdeda...,1b8cd66aeaecb780...,0.172057,0.075705,379,84.54,False,dry-run
29,b645f06a1bef59b6...,5beac005957c0c74...,0.172805,0.076034,396,95.89,False,dry-run
30,dfb58470627981c1...,b6513a474a83287d...,0.171045,0.07526,356,120.79,False,dry-run
31,fcedd1e272a60660...,c87e2e8312c097cf...,0.173861,0.076499,420,91.29,False,dry-run
32,15b65b9163f906ba...,31a76d7cff5fa2c2...,0.172937,0.076092,399,64.28,False,dry-run
33,c7296de4a8d98685...,51a3b7ac0ca93d4c...,0.173685,0.076421,416,100.77,False,dry-run
34,7ab677c75b40628d...,c14b2a2a616ebe9b...,0.169813,0.074718,328,73.55,False,dry-run
35,738bb1cad1e7327f...,af33efe7bffc7bdc...,0.171925,0.075647,376,137.38,False,dry-run
36,f29ae13581604259...,569a0b5edb89d845...,0.172233,0.075783,383,82.76,False,dry-run
37,f954ce7b29883495...,7993cbb66349f994...,0.172321,0.075821,385,91.17,False,dry-run
38,910497e3f12cc020...,9d2b8be3773c92ea...,0.172145,0.075744,381,44.82,False,dry-run
39,45a5b86e7b0817af...,d720cb1ad8f6c10e...,0.172893,0.076073,398,57.37,False,dry-run
40,d1e7de43decb29b1...,ebf3bd287213172a...,0.171617,0.075511,369,61.29,False,dry-run
41,5b054cbd87de2ee9...,2f1bec3b8e8d2e5e...,0.172453,0.075879,388,59.79,False,dry-run
42,9cc44a1434becde1...,c4f41d1d9cd0b783...,0.172189,0.075763,382,85.99,False,dry-run
43,0f21447d236c51e3...,0fbe4a1ca95c31fa...,0.173069,0.07615,402,59.27,False,dry-run
44,56432697548cc4b5...,9745934b576b400f...,0.172409,0.07586,387,43.39,False,dry-run
45,ead91cc1337cb5ac...,4252566ebd160444...,0.173861,0.076499,420,85.0,False,dry-run
46,49383377220eabd3...,3bf56c54998e8b37...,0.170605,0.075066,346,109.15,False,dry-run
47,ac2dc79172a7c8c8...,38c039603af006d7...,0.173509,0.076344,412,137.74,False,dry-run
48,e61288f967032b00...,4256148ec914122b...,0.171661,0.075531,370,120.03,False,dry-run
49,28bffbf436259a81...,3d8c97c52e20ee10...,0.172673,0.075976,393,63.29,False,dry-run
