batch_id,tx_id,fee_ada,tx_size_bytes,submit_ts_utc,inclusion_ts_utc,included_block_no,included_block_hash
0,16578034c2a4fae02e8eaf2c877df966cf1581818e179c8cad10b5ab19257c2d,0.175533,458,2026-08-07T03:38:14.376805+00:00,2026-08-07T03:38:36+00:00,13776751,590b8cd37105c4fe5b30eb5381074514626051d53021774bcf88466fbe9b71bf
1,7cc8c7556658bb6af23d89e41b1bfc471d673e75106ef8a7d8ed0a1c52264679,0.175533,458,2026-08-07T03:40:17.015365+00:00,2026-08-07T03:40:57+00:00,13776757,4adc15ff4875da391e0477aadd4376eebe6ef88e4c8df65e6b9926c57e1545e1
2,ff6a27762f10718d44f290d73a21905ff92a966c0246166cf9365829ad3514c7,0.175533,458,2026-08-07T03:41:09.941108+00:00,2026-08-07T03:41:13+00:00,13776758,044edba489252657122dc03cb92262941dd6e276636dbb1ac2839e1c29aa831e
3,2b3be31a7505145edbcabe9c2c2182703e143c7b2f0171f187ae273e46b64b8c,0.175533,458,2026-08-07T03:41:26.718209+00:00,2026-08-07T03:42:09+00:00,13776759,be76fe1964a60eaa56b1fc39cf9973ddacf6726e0d8ffaef7ae75465d9586300
4,2f687e20d6225427071282140a76f5847c745befb677cb81dcbef9b75a0a6f34,0.175533,458,2026-08-07T03:42:19.493256+00:00,2026-08-07T03:42:22+00:00,13776760,5ed4e2cdf4c2b250691e124c972394a2a0a64d8c7ed004c6a17cde279dea2630
5,7bf6c69040a378106901309c2fbc56753b561cea5b6740edca4164c0e5657c82,0.175533,458,2026-08-07T03:42:36.423116+00:00,2026-08-07T03:43:04+00:00,13776761,f8e2d78f304867d5c012d29610b5ec8af5c85cba8a07381eac93bb333c024279
6,35d39ea05acc87e4e0ff550545a46930759b0d4ca56e6a15836d3e6233b47eb4,0.175533,458,2026-08-07T03:43:14.113045+00:00,2026-08-07T03:43:24+00:00,13776762,685725892db9eb06b6eb64cb1711755c8143da35cbd80626e4cb1f7564168291
7,d1ba6e75bc6102dc897e825fce77d9c8a56288e73467c26a0cbbf58e2024cc63,0.175533,458,2026-08-07T03:43:41.252492+00:00,2026-08-07T03:44:17+00:00,13776763,95fe3ac1b65c51580950200c208062ee20d00d893957e7817a728b4d655b5565
8,d7d0369395501bcd464c0660fa07bc6f56366085c4ca26a20203719bf671188b,0.175533,458,2026-08-07T03:44:23.884841+00:00,2026-08-07T03:44:27+00:00,13776765,a00422749bc97aa46229ba3046cb920be80b4216122a1e5169c6de31f59ba2fb
9,37ecd969bfa376bd72a0c32cedbb81f98df43af9be964815dcbe8344c5b9a7d6,0.175533,458,2026-08-07T03:44:47.719507+00:00,2026-08-07T03:44:49+00:00,13776766,c14f552635f6df7f1b732a0aab8feee9d9900f88a56d78e10b77991417602861
