sample_id,batch_500_usd,batch_1681_usd,batch_5000_usd
0,12.7561,3.8265,1.2755
1,13.1003,3.9298,1.3099
2,23.8345,7.1498,2.3832
3,23.2047,6.9609,2.3202
4,28.0199,8.4054,2.8017
5,14.1914,4.2571,1.4190
6,16.1558,4.8464,1.6154
7,19.7836,5.9347,1.9781
8,65.8025,19.7393,6.5795
9,16.7413,5.0220,1.6740
10,58.6344,17.5890,5.8628
11,9.8205,2.9459,0.9819
12,12.1046,3.6311,1.2103
13,10.6830,3.2047,1.0682
14,16.5624,4.9684,1.6561
15,11.4620,3.4383,1.1461
16,46.7358,14.0197,4.6731
17,24.1149,7.2339,2.4112
18,17.8407,5.3518,1.7839
19,31.4750,9.4418,3.1472
20,33.1845,9.9546,3.3181
21,20.0651,6.0191,2.0063
22,54.5968,16.3779,5.4591
23,8.7404,2.6219,0.8739
24,15.5739,4.6718,1.5572
25,41.4117,12.4226,4.1407
26,53.9212,16.1752,5.3915
27,15.0593,4.5175,1.5058
28,33.9185,10.1748,3.3915
29,25.0294,7.5083,2.5027
30,28.5198,8.5553,2.8517
31,45.0686,13.5196,4.5064
32,20.4230,6.1265,2.0421
33,49.3169,14.7940,4.9312
34,9.6340,2.8900,0.9633
35,25.2681,7.5799,2.5265
36,13.0223,3.9064,1.3021
37,7.5601,2.2679,0.7559
38,33.8442,10.1525,3.3841
39,32.4653,9.7389,3.2462
40,78.3554,23.5049,7.8347
41,12.1453,3.6433,1.2144
42,22.1652,6.6491,2.2163
43,33.2673,9.9795,3.3264
44,13.7216,4.1162,1.3720
45,5.6914,1.7073,0.5691
46,38.5298,11.5581,3.8526
47,17.3928,5.2175,1.7391
48,22.7726,6.8313,2.2770
49,23.5139,7.0537,2.3511
50,18.4109,5.5229,1.8409
51,52.5696,15.7697,5.2564
52,27.6576,8.2967,2.7655
53,57.3049,17.1902,5.7299
54,44.0669,13.2191,4.4062
55,14.2979,4.2891,1.4296
56,36.6063,10.9811,3.6602
57,52.5539,15.7650,5.2548
58,10.5450,3.1633,1.0544
59,22.5515,6.7650,2.2549
60,6.2181,1.8653,0.6217
61,16.8849,5.0651,1.6883
62,29.9723,8.9910,2.9969
63,7.4336,2.2299,0.7433
64,28.3383,8.5009,2.8335
65,32.1680,9.6497,3.2165
66,19.6497,5.8945,1.9648
67,51.5260,15.4567,5.1520
68,20.9050,6.2710,2.0903
69,36.8912,11.0665,3.6887
70,16.9446,5.0830,1.6943
71,60.3819,18.1132,6.0375
72,25.0606,7.5176,2.5058
73,22.0659,6.6193,2.2064
74,11.5138,3.4539,1.1513
75,57.2107,17.1620,5.7205
76,58.4355,17.5294,5.8429
77,57.0363,17.1096,5.7030
78,23.5360,7.0603,2.3534
79,24.8636,7.4585,2.4861
80,6.0030,1.8008,0.6002
81,23.3357,7.0002,2.3333
82,68.8828,20.6633,6.8875
83,13.7972,4.1389,1.3796
84,25.0286,7.5080,2.5026
85,14.9235,4.4767,1.4922
86,18.7613,5.6280,1.8759
87,31.7588,9.5269,3.1755
88,11.1408,3.3420,1.1140
89,11.8109,3.5430,1.1810
90,33.5338,10.0594,3.3530
91,14.4809,4.3439,1.4479
92,8.1300,2.4388,0.8129
93,50.3726,15.1107,5.0367
94,5.8604,1.7580,0.5860
95,41.8608,12.5573,4.1856
96,39.6808,11.9034,3.9677
97,19.2212,5.7659,1.9219
98,31.2865,9.3853,3.1283
99,50.6098,15.1818,5.0604
100,10.6094,3.1826,1.0608
