batch_size,daily_volume,batches_per_month,cost_p50_usd,cost_p95_usd,cost_p99_usd,cost_mean_usd,cost_std_usd,fee_ada_mean,n_mc_samples
500,1000,60,5.1067,11.981,15.4835,5.7666,3.3609,0.17251,10000
500,5000,300,25.5119,59.9303,77.8224,28.8381,16.8077,0.172537,10000
500,10000,600,51.0835,119.6013,155.6836,57.6747,33.6156,0.172532,10000
500,20000,1200,102.1826,239.4113,311.3742,115.3386,67.2264,0.172513,10000
500,50000,3000,255.1446,597.6195,781.8378,288.3171,168.0442,0.172501,10000
1681,1000,30,2.5522,5.993,7.7746,2.8835,1.6808,0.172515,10000
1681,5000,90,7.6577,17.9574,23.3535,8.6508,5.0422,0.172524,10000
1681,10000,180,15.3071,35.8796,46.6479,17.2998,10.0825,0.172506,10000
1681,20000,360,30.6435,71.8242,93.3772,34.602,20.1661,0.172518,10000
1681,50000,900,76.6144,179.6533,232.993,86.4946,50.4129,0.172497,10000
5000,1000,30,2.5539,5.9712,7.803,2.8835,1.6807,0.172514,10000
5000,5000,30,2.555,5.9961,7.7299,2.8835,1.6803,0.172521,10000
5000,10000,60,5.0948,11.9799,15.5577,5.7671,3.3612,0.172518,10000
5000,20000,120,10.2081,23.9483,30.9754,11.5342,6.7218,0.172525,10000
5000,50000,300,25.5109,59.9629,77.6249,28.8344,16.8059,0.17251,10000
